Nazwa kliniki,Województwo,Typ kliniki,Liczba pracowników,Źródło leada,Liczba rozmów,Liczba maili,Otworzył prezentację,Demo przeprowadzone,Wysłał zapytanie,Brał udział w webinarium,Czas odpowiedzi (h),Kupiono
Mędrala-Hak S.A.,mazowieckie,uczelniana,24,strona WWW,4,1,1,1,1,1,6,1
Małyszek-Kubieniec s.c.,wielkopolskie,specjalistyczna,14,strona WWW,1,1,0,1,0,1,55,0
Dziedzina-Szumiec Sp.k.,wielkopolskie,specjalistyczna,22,strona WWW,1,0,0,0,1,0,64,0
Gęca Sp. z o.o.,wielkopolskie,uczelniana,12,strona WWW,3,0,0,1,1,0,57,0
Czuj Sp. z o.o. Sp.k.,mazowieckie,mobilna,8,mailing,5,0,1,1,1,0,5,1
Dziełak s.c.,dolnośląskie,uczelniana,5,strona WWW,1,2,0,0,0,0,38,0
Torbus Sp. z o.o.,śląskie,uczelniana,29,mailing,0,2,0,0,1,1,48,0
FPUH Sąsiadek S.A.,mazowieckie,mobilna,8,targi,1,1,0,0,0,1,16,0
Spółdzielnia Antoń S.A.,dolnośląskie,ogólna,22,mailing,3,2,0,0,0,0,62,0
Spółdzielnia Walkusz-Kieloch Sp.j.,pomorskie,mobilna,14,mailing,1,1,0,1,1,0,27,0
Kadela Sp.j.,śląskie,ogólna,15,targi,0,1,0,0,0,0,15,0
Stowarzyszenie Bryda-Zackiewicz i syn s.c.,śląskie,ogólna,7,cold call,0,1,0,0,0,1,9,0
Gabinety Słobodzian Sp. z o.o. Sp.k.,mazowieckie,mobilna,27,cold call,2,0,0,0,0,0,23,0
Rorat Sp. z o.o. Sp.k.,pomorskie,mobilna,3,cold call,0,2,1,0,1,1,8,1
Gabinety Dziadowicz,śląskie,ogólna,3,targi,1,1,0,1,0,0,22,0
Betka Sp.k.,pomorskie,uczelniana,9,polecenie,3,2,0,1,1,0,1,1
Spółdzielnia Krzysiek i syn s.c.,śląskie,specjalistyczna,27,mailing,5,2,0,1,1,1,1,1
FPUH Pitura-Żabierek Sp. z o.o. Sp.k.,wielkopolskie,ogólna,19,cold call,3,0,0,0,0,0,47,0
Grupa Frączkiewicz,wielkopolskie,uczelniana,26,strona WWW,1,2,1,1,1,0,8,1
FPUH Fiedler,mazowieckie,mobilna,2,cold call,1,0,0,1,0,1,52,0
Spółdzielnia Fidor,śląskie,mobilna,4,targi,2,0,0,0,0,0,15,0
Gabinety Kaszkowiak-Winek S.A.,pomorskie,specjalistyczna,22,cold call,3,2,0,0,0,0,20,0
Fundacja Wykręt Sp.k.,wielkopolskie,uczelniana,24,polecenie,4,0,1,1,1,1,5,1
PPUH Węgrzynek,śląskie,ogólna,7,cold call,2,0,0,1,1,0,21,0
Głownia-Wojtarowicz Sp.k.,dolnośląskie,mobilna,29,targi,3,0,0,0,0,1,47,0
Fundacja Zuziak s.c.,śląskie,ogólna,24,strona WWW,5,2,1,0,1,1,6,1
Grzegorzak Sp. z o.o. Sp.k.,mazowieckie,uczelniana,29,cold call,3,2,0,1,1,0,30,0
Domino-Duchnik Sp.k.,mazowieckie,specjalistyczna,6,strona WWW,1,0,0,0,0,1,9,0
Stowarzyszenie Wisz-Thiel i syn s.c.,mazowieckie,ogólna,4,strona WWW,2,2,0,0,0,0,41,0
Grupa Kuza-Picheta Sp.k.,mazowieckie,uczelniana,3,strona WWW,3,0,0,1,0,0,23,0
PPUH Olearczyk-Mejer s.c.,wielkopolskie,specjalistyczna,7,polecenie,3,2,0,0,1,0,30,0
Kolarz S.A.,dolnośląskie,uczelniana,3,targi,1,0,1,1,1,0,8,1
Peciak Sp.j.,dolnośląskie,mobilna,17,mailing,1,3,1,1,1,0,1,1
Grupa Stępka-Cukier s.c.,pomorskie,specjalistyczna,2,polecenie,2,2,0,0,0,1,48,0
Gabinety Greszta,mazowieckie,specjalistyczna,23,strona WWW,3,4,1,1,1,1,3,1
Gabinety Ciećko-Pokusa s.c.,wielkopolskie,specjalistyczna,7,strona WWW,5,0,1,0,1,0,7,1
Grupa Franków s.c.,pomorskie,specjalistyczna,28,cold call,2,2,0,1,0,0,26,0
